Periodo,F1_Score,Accuracy,Precision,Recall,Best_Params
2020-39,0.6124401913875598,0.7272727272727273,0.7272727272727273,1.0,"{'selectk__k': 8, 'clf__splitter': 'random', 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'entropy', 'clf__class_weight': None, 'clf__ccp_alpha': 0.0775}"
2020-43,1.0,1.0,1.0,1.0,"{'selectk__k': 8, 'clf__splitter': 'random', 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'entropy', 'clf__class_weight': None, 'clf__ccp_alpha': 0.0775}"
2020-44,0.6805555555555556,0.7777777777777778,0.7777777777777778,1.0,"{'selectk__k': 8, 'clf__splitter': 'random', 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'entropy', 'clf__class_weight': None, 'clf__ccp_alpha': 0.0775}"
2020-45,0.5841784989858012,0.7058823529411765,0.7058823529411765,1.0,"{'selectk__k': 8, 'clf__splitter': 'random', 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'entropy', 'clf__class_weight': None, 'clf__ccp_alpha': 0.0775}"
2020-51,0.728448275862069,0.8125,0.8125,1.0,"{'selectk__k': 6, 'clf__splitter': 'best', 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'gini', 'clf__class_weight': None, 'clf__ccp_alpha': 0.01}"
2021-01,1.0,1.0,1.0,1.0,"{'selectk__k': 6, 'clf__splitter': 'best', 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'gini', 'clf__class_weight': None, 'clf__ccp_alpha': 0.01}"
2021-02,0.728448275862069,0.8125,0.8125,1.0,"{'selectk__k': 8, 'clf__splitter': 'random', 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'entropy', 'clf__class_weight': None, 'clf__ccp_alpha': 0.0775}"
2021-03,0.8768115942028986,0.9166666666666666,0.9166666666666666,1.0,"{'selectk__k': 8, 'clf__splitter': 'best', 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 20, 'clf__max_features': 'log2', 'clf__max_depth': 4, 'clf__criterion': 'entropy', 'clf__class_weight': None, 'clf__ccp_alpha': 0.05500000000000001}"
2021-05,0.829654403567447,0.8840579710144928,0.8840579710144928,1.0,"{'selectk__k': 6, 'clf__splitter': 'best', 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'gini', 'clf__class_weight': None, 'clf__ccp_alpha': 0.01}"
2021-07,0.9217638691322904,0.9473684210526315,0.9473684210526315,1.0,"{'selectk__k': 6, 'clf__splitter': 'best', 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'gini', 'clf__class_weight': None, 'clf__ccp_alpha': 0.01}"
2021-08,0.6021505376344086,0.45161290322580644,0.9333333333333333,0.4666666666666667,"{'selectk__k': 6, 'clf__splitter': 'best', 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'gini', 'clf__class_weight': None, 'clf__ccp_alpha': 0.01}"
2021-09,0.9589041095890409,0.9210526315789473,1.0,0.9210526315789473,"{'selectk__k': 6, 'clf__splitter': 'best', 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'gini', 'clf__class_weight': None, 'clf__ccp_alpha': 0.01}"
2021-10,0.897783251231527,0.9310344827586207,0.9310344827586207,1.0,"{'selectk__k': 9, 'clf__splitter': 'random', 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': None, 'clf__max_depth': 3, 'clf__criterion': 'entropy', 'clf__class_weight': None, 'clf__ccp_alpha': 0.0325}"
2021-11,1.0,1.0,1.0,1.0,"{'selectk__k': 6, 'clf__splitter': 'best', 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'gini', 'clf__class_weight': None, 'clf__ccp_alpha': 0.01}"
2021-12,0.8688524590163934,0.7681159420289855,1.0,0.7681159420289855,"{'selectk__k': 6, 'clf__splitter': 'best', 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'gini', 'clf__class_weight': None, 'clf__ccp_alpha': 0.01}"
2021-13,0.9547785547785548,0.9696969696969697,0.9696969696969697,1.0,"{'selectk__k': 8, 'clf__splitter': 'random', 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'entropy', 'clf__class_weight': None, 'clf__ccp_alpha': 0.0775}"
2021-18,1.0,1.0,1.0,1.0,"{'selectk__k': 8, 'clf__splitter': 'random', 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'entropy', 'clf__class_weight': None, 'clf__ccp_alpha': 0.0775}"
2021-19,0.4245614035087719,0.5789473684210527,0.5789473684210527,1.0,"{'selectk__k': 10, 'clf__splitter': 'random', 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'log2', 'clf__max_depth': 3, 'clf__criterion': 'entropy', 'clf__class_weight': None, 'clf__ccp_alpha': 0.01}"
2021-21,0.45,0.6,0.6,1.0,"{'selectk__k': 15, 'clf__splitter': 'best', 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 20, 'clf__max_features': 'sqrt', 'clf__max_depth': 2, 'clf__criterion': 'entropy', 'clf__class_weight': 'balanced', 'clf__ccp_alpha': 0.1}"
2021-22,0.06666666666666667,0.2,0.0,0.0,"{'selectk__k': 11, 'clf__splitter': 'best', 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 20, 'clf__max_features': 'log2', 'clf__max_depth': 2, 'clf__criterion': 'entropy', 'clf__class_weight': 'balanced', 'clf__ccp_alpha': 0.1}"
2021-24,0.906236559139785,0.86,0.9772727272727273,0.8775510204081632,"{'selectk__k': 6, 'clf__splitter': 'best', 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'gini', 'clf__class_weight': None, 'clf__ccp_alpha': 0.01}"
2021-25,1.0,1.0,1.0,1.0,"{'selectk__k': 6, 'clf__splitter': 'best', 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 4, 'clf__criterion': 'gini', 'clf__class_weight': None, 'clf__ccp_alpha': 0.01}"
2021-26,1.0,1.0,1.0,1.0,"{'selectk__k': 17, 'clf__splitter': 'random', 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 3, 'clf__criterion': 'gini', 'clf__class_weight': 'balanced', 'clf__ccp_alpha': 0.05500000000000001}"
2021-28,0.0,0.0,0.0,0.0,"{'selectk__k': 17, 'clf__splitter': 'random', 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 3, 'clf__criterion': 'gini', 'clf__class_weight': 'balanced', 'clf__ccp_alpha': 0.05500000000000001}"
2021-29,0.8366013071895424,0.8888888888888888,0.8888888888888888,1.0,"{'selectk__k': 17, 'clf__splitter': 'random', 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 3, 'clf__criterion': 'gini', 'clf__class_weight': 'balanced', 'clf__ccp_alpha': 0.05500000000000001}"
